NOMBRE
"""A"" Oriente"
"""A"" Poniente"
"""B"""
"""B"" Poniente"
"""C"" Poniente"
"""D"" Poniente"
((Matachí - Madera) - Soto Máynez - Gómez Farías - Buenaventura) - Ent. (Madera - Ejido el Largo)
(A Ixtapan del Oro) - Chirimoyo - San Juan Xoconusco - El Capulín - Valle Redondo - Lim. Méx. /Mich.
(A Ixtapan del Oro) - Donato Guerra
(A Malacota) - Tlalpujahuilla - Pueblo Nuevo
(A Oxtotipac) - Belén
(A Pozo Hondo) - Daxthi - Santiago Oxthoc
(A San Andrés Nicolás Bravo) - Tepehuajes - Ent. Km. 12+000 (A San Andrés Nicolás Bravo)
(A San Bartolo Oxtotitlan) - San Lorenzo Malacota
(A San Bartolo Oxtotitlán) - San Lorenzo Malacota
(A San Marcos) - Mina Vieja
(A Tlamacas - San Diego) - Huehuecalco
(A Yondeje) - Santiago Maxda - Diximoxi - E.C. (Panamericana)
(Acambay - San José Ixtapa) - Límite México/Querétaro
(Acapulco - Zihuatanejo) - Ramal a San Miguelito - El Corte - El Encanto
(Ahualulco - Bocas - El Mezquite) - Cañada Grande
(Ahualulco - Charcas - La Bonita) - Colonia Orilla del Río - Colonia Benito Juárez
(Al Tepozán) - Límite México/Querétaro
(Amomolulco - Ocoyoacac) - Almoloya del Río - San Pedro Techuchulco
(Aquismón - Tamapatz) - Mantezulel
(Atarasquillo - El Charco) - San Miguel Ameyalco
(Atlacomulco - El Oro) - San Felipe del Progreso
(Atlacomulco - El Oro) - Temascalcingo
(Atlacomulco - San Felipe del Progreso) - San Juan Coajomulco
(Atlapexco - Calnali) - Achiquihuixtla
(Atlapexco - Calnali) - Tlachapa - Atlajco Cochiscuatitla - Cochotla
(Bajos del Ejido - Tixtlancingo) - Ramal a Platanillo
(Barranca Honda - Santa María Cohetzala) - T.C. (Barranca Honda - Ayoxuxtla)
(Calnali - Santa Lucia) - Huazalingo
(Coatepec Harinas - Porfirio Díaz) - Agua Amarga
(Coyula - San Juan Amecac) T.C. (Coyula - Las Cuevitas)
(E.C.F. México 130 - Tejocotal) - Ejido Tlatzintla
(El Capulín - Chalma) - San Andrés Nicolás Bravo
(El Corupo - Nuevo Copaltepec) - Palmar Chico
(El Fresno - Temascaltepec) - San Lucas del Pulque
(El Fresno - Temascaltepec) - San Pedro Tenayac - Zacazonapan
(Huautla - Chiliteco) - Metlatepec - Chapopote
(Ixtlahuaca - Jilotepec) - Buenos Aires
(Ixtlahuaca - Jilotepec) - Ent. Km. 57.6 (A Corrales)
(Ixtlahuaca - Jilotepec) - Pathe
(Ixtlahuaca - Jilotepec) - Pathé
(Ixtlahuaca - Jilotepec) - Santa María del Llano - Rancho Alegre
(Ixtlahuaca - Jiquipilco) - San Bartolo Oxtotitlán
(Ixtlahuaca - Naucalpan) - Centro Ceremonial Otomí - Temoaya
(Ixtlahuaca - Naucalpan) - San Jerónimo Zacapexco
(Ixtlahuaca - Naucalpan) - Santa Ana Jilotzingo - Ent. Km. 20.0 (Toluca - Naucalpan)
(Ixtlahuaca de Rayón - Naucalpan) - San Jerónimo Zacapexco
(Ixtlahuaca-Jiquipilco)-San Bartolo Oxtotitlan
(Jajalpa - San Francisco Tepexoxuca) - Joquicingo
(Jiménez - Camargo) - Ex Hacienda Río Parral
(La Marquesa - Tenango) - Coatepec de las Bateas
(La Marquesa - Tenango) - San Miguel Almaya - Capulhuac
(La Puerta - Sultepec) - Ent. Km. 5+000 (Tejupilco - Amatepec)
(La Puerta - Sultepec) - Las Juntas - Ixtapan
(La Puerta - Sultepec) - Vuelta del Agua - Zacualpan
(Las Juntas - Ixtapan) - Pilcaya
(Las Ollas - Chicumtantic) - El Pozo
(Las Ollas-Chicumtantic)-El Pozo
(Los Reyes - Apaxco) - Hueypoxtla - Ent. Km. 58 (México - Pachuca)
(Los Reyes - Apaxco) - Tizayuca
(Mecapalapa - Pantepec) - Tejería - La Ceiba Chica
(Metepec - Zoológico de Zacango) - San Juan Tilapa
(Mexicaltzingo - Tianguistenco) - Santa Cruz Atizapán - Santiago Tianguistenco
(Mexicaltzingo - Xalatlaco) - El Ajusco
(Mexicaltzingo - Xalatlaco) - Texcalyacac
(Monumento - Valle de Bravo) - Donato Guerra
(México - Cuautla) - Juchitepec - Tepetlixpa
(México - Cuautla) - Santa Isabel Chalma
(México - Cuautla) - Tlalmanalco
(México - Laredo) - Ixtlahuaca de Cuauhtémoc
(México - Laredo) - Zumpango - Apaxco - Limite México - Hidalgo
(México - Laredo) - Zumpango - Apaxco - Límite México - Hidalgo
(México - Pachuca) - San Andrés
(México - Querétaro) - Huehuetoca
(México - Toluca) - Capulhuac - Santiago Tianguistenco
(México - Toluca) - Tenango del Valle
(México - Tulancingo) - Nopaltepec
(México - Tulancingo) - Otumba - Lim. Méx. /Hgo.
(México - Tulancingo) - Oxtotipac
(México - Tulancingo) - Panteón Acolman - Xometla
(México - Tulancingo) - San Marcos Nepantla
(México - Veracruz) - La Purificación
(México - Zacatepec) - San Jerónimo Amanalco
(México - Zacatepec) - Tepetlaoxtoc - Jolalpan
(México - Zacatepec) - U. Habitacional ISSSTE - Tequesquinahuac
(México-Toluca)-San Mateo Atenco-Barrio de Guadalupe-CYMMYT-Chapultepec
(Naica - Santa Gertrudis - Valerio) -Las Boquillas
(Ocuilan - Cuernavaca) - Tlatempan - Ahuatenco
(Ojo de Agua - Enramadas) - El Carrizo
(Privada) Nacional
(Puente Grande - Villa del Carbón) - Arcos del Sitio
(Sabancuy - Díaz Ordaz) - La Cristalina - Los Manantiales
(San José el Contento) - Sibaca - Guaquitepec
(Santiago Tianguistenco - Chalma) - Zempoala
(Tenancingo - Zumpahuacán) - Acatzingo
(Tepexpan - Texcoco) - Tequisistlan - Nexquipayac
(Tepexpan - Texcoco) - Tezoyuca
(Tiacaque - Buenos Aires) - San Felipe Santiago
(Tianguistenco - Chalma) - Cuernavaca
(Tlachichuca - Zoapan) y Ramal a Manuel Edgardo Ávalos
(Tlalnepantla - San Gabriel) - Atlacomulco
(Toluca - Atlacomulco) - Vía Alfredo del Mazo - Ent. Paseo Tollocan
(Toluca - Axixintla) - El Cedrito - La Mesita
(Toluca - Axixintla) - Grutas de la Estrella
(Toluca - Axixintla) - San Miguel
(Toluca - Axixintla) - Zacango - Totolmajac
(Toluca - Cd. Altamirano) - Cerro del Campo - San Pedro Limón - Lim. Méx. / Gro.
(Toluca - Cd. Altamirano) - Cerro del Campo - San Pedro Limón - Lim. Méx. /Gro.
(Toluca - Cd. Altamirano) - El Estanco - El Corupo
(Toluca - Cd. Altamirano) - Palmar Chico - Palmar Grande
(Toluca - Cd. Altamirano) - Tequesquipan
(Toluca - Metepec - Tenango) - Calimaya - Zaragoza
(Toluca - Metepec - Tenango) - Mexicaltzingo - Tianguistenco - Xalatlaco
(Toluca - Metepec - Tenango) - Zoológico de Zacango
(Toluca - Morelia) - Almoloya de Juárez - Ejido San Pedro
(Toluca - Morelia) - Ixtapan del Oro
(Toluca - Morelia) - San Francisco Tlalcilalcalpan - Valle de Bravo
(Toluca - Morelia) - Tabernillas
(Toluca - Morelia) - Yebucivi - San Marcos de la Loma
(Toluca - Naucalpan) - Temoaya - Jiquipilco
(Toluca - Naucalpan) - Villa Cuauhtémoc
(Toluca - Palmillas) - Aculco - Ent. Km. 114.8 (México - Querétaro)
(Toluca - Palmillas) - Calixtlahuaca - Tecaxic - Ent. Km. 2.2 (Toluca - Almoloya de Juárez)
(Toluca - Palmillas) - Citlalli
(Toluca - Palmillas) - El Tepozán
(Toluca - Palmillas) - Jilotepec - Corrales - Limite México/Hidalgo
(Toluca - Palmillas) - Jilotepec - Corrales - Límite México/Hidalgo
(Toluca - Palmillas) - Jocotitlán
(Toluca - Palmillas) - La Calera - Ent. Km. 44.0 (Amomolulco - Xonacatlán - Presa Álzate)
(Toluca - Palmillas) - Límite México/Querétaro
(Toluca - Palmillas) - Radio Eléctrica Tlachaloya
(Toluca - Palmillas) - San Pedro de los Baños - Colonia Benito Juárez
(Toluca - Taxco) - Cruz Vidriada
(Toluca - Taxco) - Joquicingo - Malinalco - Chalma
(Toluca - Temascaltepec) - Valle de Bravo
(Toluca - Valle de Bravo) - Turcio
(Villa del Carbón - Atlacomulco) - El Salto - Isla de las Aves
(Villa del Carbón - Atlacomulco) - Yondeje
(Villa del Carbón - Chapa de Mota) - San Luis Taxhimay - Lim. Edos. de México - Hidalgo
0
0 Primera
01
01 A
01 de Marzo
01 de Mayo
02
02 A
03
04
05
06
06 A
07
1
1 (18 de Marzo)
1 (Amez y Argüelles)
1 (Ignacio Zaragoza)
1 (Rébsamen)
1 A
1 A Antonio Osorio
1 A Diagonal
1 A Fuerte de Guadalupe
1 A-Bis
1 Acosta
1 Alberto Hernández
1 Alejandro García
1 Alejo Rico
1 Andenes
1 Angel Rico
1 Antonio Osorio
1 Antonio de Soto y Gama
1 Artemio Alpizar Ruz
1 Aurelio Meneses
1 Aztlán
1 B
1 Benito Juárez
1 Bis
